"Store","Date","Weekday","Predicted_Customers"
"Philadelphia",2014-06-08,"domingo",258
"Philadelphia",2014-06-09,"segunda-feira",146
"Philadelphia",2014-06-10,"terça-feira",152
"Philadelphia",2014-06-11,"quarta-feira",156
"Philadelphia",2014-06-12,"quinta-feira",164
"Philadelphia",2014-06-13,"sexta-feira",196
"Philadelphia",2014-06-14,"sábado",300
