"Store","Date","Weekday","Predicted_Customers"
"Richmond",2014-06-08,"domingo",71
"Richmond",2014-06-09,"segunda-feira",43
"Richmond",2014-06-10,"terça-feira",43
"Richmond",2014-06-11,"quarta-feira",44
"Richmond",2014-06-12,"quinta-feira",45
"Richmond",2014-06-13,"sexta-feira",55
"Richmond",2014-06-14,"sábado",80
