"Store","Date","Weekday","Predicted_Customers"
"Baltimore",2014-06-08,"domingo",112
"Baltimore",2014-06-09,"segunda-feira",64
"Baltimore",2014-06-10,"terça-feira",67
"Baltimore",2014-06-11,"quarta-feira",68
"Baltimore",2014-06-12,"quinta-feira",70
"Baltimore",2014-06-13,"sexta-feira",81
"Baltimore",2014-06-14,"sábado",121
